Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8, C9",0201,15,0.1u,C66938
C13,0402,1,1u,C107372
D1,0603,1,ACTIVITY,C253534
D2,LED_RGB_1210,1,PROG/PASS,C264332
D3,0603,1,POWER,C434419
D7,SOT-323_SC-70,1,BAT54CW,C57891
J1,USB_C_Receptacle_Amphenol_10137061-00021LF,1,USB_C,C3197967
Q1,SOT-23-6,1,Q_Dual_PNP_PNP_E1B1C2E2B2C1,C703623
"R1, R2, R3",0603,3,6.2K,C4260
"R10, R9",0201,2,5.1K,C100142
"R11, R4, R5",0201,3,6.2K,C423334
"R7, R8",0201,2,100,C2991668
U1,SOT-363_SC-70-6,1,74LVC2G14,C3294721
U2,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,RTS5306E,C2848856
U5,WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,TS3A27518ERTW,C2651937
U6,105162-0001,1,SD_SOCKET,C724031
U7,SOT-223-3_TabPin2,1,AZ1117-3.3,C92102
